iucn_sid,stressor,range_km2,impact_km2,incr2_km2,incr3_km2,decr2_km2,decr3_km2
133411,cum_all,5322905.318075986,5122150.205200614,4412557.980350701,3521553.147279824,32398.476858593953,6742.369204767815
133411,cum_climate,5322905.318075986,4624078.528853367,4501917.731911832,3797581.603480517,1776.1920667915263,1776.1920667915263
133411,cum_fishing,5322905.318075986,2268023.4960254594,996007.9989383259,26096.226067556312,158492.3952818174,4513.833232259996
133411,cum_land-based,5322905.318075986,485249.73580687423,49129.96168058396,0,7475.899879622711,0
133411,cum_ocean,5322905.318075986,3892284.7762125432,2667931.3064381825,495902.5214662451,215337.52747777203,45299.01056411595
133411,dem_dest,5322905.318075986,NA,NA,NA,NA,NA
133411,dem_nondest_hb,5322905.318075986,NA,NA,NA,NA,NA
133411,dem_nondest_lb,5322905.318075986,NA,NA,NA,NA,NA
133411,direct_human,5322905.318075986,485249.73580687423,49129.96168058396,0,7475.899879622711,0
133411,light,5322905.318075986,NA,NA,NA,NA,NA
133411,nutrient,5322905.318075986,NA,NA,NA,NA,NA
133411,oa,5322905.318075986,3874310.6558420677,3470882.77141521,177369.4572303157,0,0
133411,organic,5322905.318075986,NA,NA,NA,NA,NA
133411,pel_hb,5322905.318075986,NA,NA,NA,NA,NA
133411,pel_lb,5322905.318075986,NA,NA,NA,NA,NA
133411,shipping,5322905.318075986,3892284.7762125432,2667931.3064381825,495902.5214662451,215337.52747777203,45299.01056411595
133411,slr,5322905.318075986,NA,NA,NA,NA,NA
133411,sst,5322905.318075986,4330557.986450453,4049270.814161717,3782719.7486035586,10901.662621502106,9094.033538879125
133413,art_fish,6784189.187331656,2852262.3191068047,1184765.5195104429,23700.02595393183,360262.2256093494,27582.498874588542
133413,cum_all,6784189.187331656,6575700.565626866,5487210.943597021,4482704.4682601215,66579.25859009897,16601.37042173724
133413,cum_climate,6784189.187331656,6061209.155009184,5693262.322635684,4957773.846162014,37791.67364346969,31864.04740681645
133413,cum_fishing,6784189.187331656,2852262.3191068047,1184765.5195104429,23700.02595393183,360262.2256093494,27582.498874588542
133413,cum_land-based,6784189.187331656,600090.9449480481,57397.0267316117,0,8708.056723267027,0
133413,cum_ocean,6784189.187331656,4804997.750162559,3404191.736397336,594440.1385497223,270982.8131695682,71429.29340590829
133413,dem_dest,6784189.187331656,NA,NA,NA,NA,NA
133413,dem_nondest_hb,6784189.187331656,NA,NA,NA,NA,NA
133413,dem_nondest_lb,6784189.187331656,NA,NA,NA,NA,NA
133413,direct_human,6784189.187331656,600090.9449480481,57397.0267316117,0,8708.056723267027,0
133413,light,6784189.187331656,NA,NA,NA,NA,NA
133413,nutrient,6784189.187331656,NA,NA,NA,NA,NA
133413,oa,6784189.187331656,4754127.400126634,3959779.2020109124,177369.4572303157,0,0
133413,organic,6784189.187331656,NA,NA,NA,NA,NA
133413,pel_hb,6784189.187331656,NA,NA,NA,NA,NA
133413,pel_lb,6784189.187331656,NA,NA,NA,NA,NA
133413,shipping,6784189.187331656,4804997.750162559,3404191.736397336,594440.1385497223,270982.8131695682,71429.29340590829
133413,slr,6784189.187331656,NA,NA,NA,NA,NA
133413,sst,6784189.187331656,5739225.003708003,5237545.055164979,4942911.991285055,47339.79757162505,39393.215565626444
133415,art_fish,3362242.516164623,1705957.383412552,910036.460490789,1472.3008035386656,36127.25768965001,75.09956458619926
133415,cum_all,3362242.516164623,3336307.84150518,3097975.0012439038,2721192.6175035182,11726.884601191867,1537.7946062021963
133415,cum_climate,3362242.516164623,3302875.4357143706,3208381.842955432,2810114.8704371713,1749.1212929245917,1749.1212929245917
133415,cum_fishing,3362242.516164623,1705957.383412552,910036.460490789,1472.3008035386656,36127.25768965001,75.09956458619926
133415,cum_land-based,3362242.516164623,452265.3076583638,46945.96150412163,0,7996.357340109075,0
133415,cum_ocean,3362242.516164623,2306339.119927177,1692926.735133975,350723.70743061905,76812.88437532813,20213.135629310334
133415,dem_dest,3362242.516164623,NA,NA,NA,NA,NA
133415,dem_nondest_hb,3362242.516164623,NA,NA,NA,NA,NA
133415,dem_nondest_lb,3362242.516164623,NA,NA,NA,NA,NA
